Area_of_Cytoplasm,Label,Number_of_pbodies_cytoplasm,Number_of_pbodies_in_Nucleus,Number_of_pbodies_unshrunken_Nucleus,Number_of_pbodies_unshrunken_cytoplasm,SiteX,SiteY,Well
54289.0,27,17.0,0.0,0.0,17.0,0.0,0.0,E05
57163.0,28,13.0,1.0,1.0,13.0,0.0,0.0,E05
96966.0,14,21.0,1.0,1.0,21.0,0.0,0.0,E05
81982.0,35,10.0,0.0,0.0,10.0,0.0,0.0,E05
53229.0,9,11.0,0.0,0.0,11.0,0.0,0.0,E05
48701.0,12,10.0,1.0,1.0,10.0,0.0,0.0,E05
39019.0,31,8.0,1.0,1.0,8.0,0.0,0.0,E05
45829.0,32,5.0,0.0,0.0,5.0,0.0,0.0,E05
48002.0,15,7.0,1.0,3.0,5.0,0.0,0.0,E05
104304.0,13,17.0,0.0,1.0,16.0,0.0,0.0,E05
14908.0,21,0.0,0.0,0.0,0.0,0.0,0.0,E05
16513.0,11,0.0,0.0,0.0,0.0,0.0,0.0,E05
60571.0,36,7.0,0.0,0.0,7.0,0.0,0.0,E05
24925.0,10,5.0,0.0,0.0,5.0,0.0,0.0,E05
34531.0,33,5.0,0.0,0.0,5.0,0.0,0.0,E05
38860.0,17,16.0,3.0,4.0,15.0,0.0,0.0,E05
68688.0,8,17.0,0.0,0.0,17.0,0.0,0.0,E05
98406.0,19,24.0,0.0,1.0,23.0,0.0,0.0,E05
48207.0,20,14.0,0.0,2.0,12.0,0.0,0.0,E05
44294.0,37,12.0,1.0,2.0,11.0,0.0,0.0,E05
81250.0,29,6.0,0.0,0.0,6.0,0.0,0.0,E05
77582.0,24,16.0,2.0,2.0,16.0,0.0,0.0,E05
46258.0,22,10.0,1.0,2.0,9.0,0.0,1.0,E05
39103.0,35,10.0,0.0,1.0,9.0,0.0,1.0,E05
44628.0,28,13.0,0.0,1.0,12.0,0.0,1.0,E05
45329.0,6,11.0,0.0,0.0,11.0,0.0,1.0,E05
74728.0,19,21.0,0.0,1.0,20.0,0.0,1.0,E05
43297.0,17,12.0,0.0,1.0,11.0,0.0,1.0,E05
38330.0,13,15.0,3.0,5.0,13.0,0.0,1.0,E05
35476.0,16,10.0,0.0,0.0,10.0,0.0,1.0,E05
17416.0,25,3.0,0.0,0.0,3.0,0.0,1.0,E05
35809.0,7,2.0,0.0,0.0,2.0,0.0,1.0,E05
